country_code,name,phone,email,description
FR,Embassy of Japan Address,"7 Avenue Hoche, 75008 Paris",,Japan
FR,Embassy of Japan Phone,+33 1 48 88 62 00,,Japan
FR,Royal Thai Embassy Address,"8 Rue Greuze, 75116 Paris",,Thailand
FR,Royal Thai Embassy Phone,+33 1 56 26 50 50,,Thailand
FR,US Embassy Address,"2 Avenue Gabriel, 75008 Paris",,United States
FR,US Embassy Phone,+33 1 43 12 22 22,,United States
FR,Embassy of Italy Address,"73 Rue de Grenelle, 75007 Paris",,Italy
FR,Embassy of Italy Phone,+33 1 49 54 03 00,,Italy
FR,Embassy of Spain Address,"22 Rue de Tilsitt, 75017 Paris",,Spain
FR,Embassy of Spain Phone,+33 1 44 43 18 00,,Spain
FR,Embassy of Turkey Address,"16 Avenue de Lamballe, 75116 Paris",,Turkey
FR,Embassy of Turkey Phone,+33 1 53 92 71 11,,Turkey
FR,Embassy of Germany Address,"13-15 Avenue Franklin D. Roosevelt, 75008 Paris",,Germany
FR,Embassy of Germany Phone,+33 1 53 83 45 00,,Germany
FR,Embassy of Mexico Address,"15 Rue de Longchamp, 75116 Paris",,Mexico
FR,Embassy of Mexico Phone,+33 1 53 42 27 00,,Mexico
JP,Embassy of France Address,"4-11-44, Minami-Azabu, Minato-ku, Tokyo 106-8514",,France
JP,Embassy of France Phone,+81 3-5798-6000,,France
JP,Royal Thai Embassy Address,"3-14-6 Kami-Osaki, Shinagawa-ku, Tokyo 141-0021",,Thailand
JP,Royal Thai Embassy Phone,+81 3-5789-2433,,Thailand
JP,US Embassy Address,"1-10-5 Akasaka, Minato-ku, Tokyo 107-8420",,United States
JP,US Embassy Phone,+81 3-3224-5000,,United States
JP,Embassy of Italy Address,"2-5-4 Mita, Minato-ku, Tokyo 108-8302",,Italy
JP,Embassy of Italy Phone,+81 3-3453-5291,,Italy
JP,Embassy of Spain Address,"1-3-29 Roppongi, Minato-ku, Tokyo 106-0032",,Spain
JP,Embassy of Spain Phone,+81 3-3583-8531,,Spain
JP,Embassy of Turkey Address,"2-33-6 Jingumae, Shibuya-ku, Tokyo 150-0001",,Turkey
JP,Embassy of Turkey Phone,+81 3-6439-5700,,Turkey
JP,Embassy of Germany Address,"4-5-10 Minami-Azabu, Minato-ku, Tokyo 106-0047",,Germany
JP,Embassy of Germany Phone,+81 3-5791-7700,,Germany
JP,Embassy of Mexico Address,"2-15-1 Nagatacho, Chiyoda-ku, Tokyo 100-0014",,Mexico
JP,Embassy of Mexico Phone,+81 3-3581-1131,,Mexico
