country_code,original,translation,context_note
FR,Help!,Au secours ! / À l’aide !,Emergency
FR,Call the police,Appelez la police,Emergency
FR,I need an ambulance,J’ai besoin d’une ambulance,Emergency
FR,Fire!,Au feu !,Emergency
FR,Where is the nearest hospital?,Où est l’hôpital le plus proche ?,Health
FR,I am injured,Je suis blessé(e),Health
FR,I am lost,Je suis perdu(e),Safety
FR,I do not speak French,Je ne parle pas français,Language
FR,Do you speak English?,Parlez-vous anglais ?,Language
FR,My name is…,Je m’appelle…,Personal
FR,My address is…,Mon adresse est…,Personal
FR,My phone number is…,Mon numéro de téléphone est…,Personal
FR,Please help me,"S’il vous plaît, aidez-moi",Emergency
FR,I am allergic to…,Je suis allergique à…,Health
FR,I need a doctor,J’ai besoin d’un médecin,Health
FR,It’s an emergency,C’est une urgence,Emergency
JP,Help!,Tasukete! (助けて！),Emergency
JP,Call the police,Keisatsu o yonde kudasai (警察を呼んでください),Emergency
JP,Fire!,Kaji desu! (火事です！),Emergency
JP,Ambulance!,Kyūkyūsha o yonde kudasai (救急車を呼んでください),Emergency
JP,It’s an emergency,Kinkyu desu (緊急です),Emergency
JP,I am injured,Kega o shimashita (けがをしました),Health
JP,I feel sick,Kibun ga warui desu (気分が悪いです),Health
JP,I am lost,Michi ni mayoimashita (道に迷いました),Safety
JP,Do you speak English?,Eigo o hanasemasu ka? (英語を話せますか？),Language
JP,My name is…,Watashi no namae wa ... desu (私の名前は…です),Personal
JP,My address is…,Watashi no jusho wa ... desu (私の住所は…です),Personal
JP,Please help me,Tasukete kudasai (助けてください),Emergency
JP,I am allergic to…,... ni arerugī ga arimasu (…にアレルギーがあります),Health
JP,I need a doctor,Isha ga hitsuyou desu (医者が必要です),Health
TH,Help!,Chuay duay! (ช่วยด้วย!),Emergency
TH,Call the police,Riak tamruat hai noi (เรียกตำรวจให้หน่อย),Emergency
TH,Call an ambulance,Riak rot pa-ya-ban hai noi (เรียกรถพยาบาลให้หน่อย),Emergency
TH,Fire!,Fai mai! (ไฟไหม้!),Emergency
TH,I am injured,Chan/Phom dai rap bat-chet (ฉัน/ผมได้รับบาดเจ็บ),Health
TH,I am lost,Chan/Phom long tang (ฉัน/ผมหลงทาง),Safety
TH,Do you speak English?,Khun phut phasa angkrit dai mai? (คุณพูดภาษาอังกฤษได้ไหม),Language
TH,My name is…,Chan/Phom chue... (ฉัน/ผมชื่อ...),Personal
TH,My address is…,Tee yuu khong chan/Phom kue... (ที่อยู่ของฉัน/ผมคือ...),Personal
TH,Please help me,Chuay duay ka/krap (ช่วยด้วยค่ะ/ครับ),Emergency
TH,I am allergic to…,Chan/Phom phae... (ฉัน/ผมแพ้...),Health
TH,I need a doctor,Chan/Phom tongการแพทย์ (ฉัน/ผมต้องการแพทย์),Health
TH,It’s an emergency,Bpen heuang duan (เป็นเหตุฉุกเฉิน),Emergency
US,Help!,Help!,Emergency
US,Call the police,Call the police!,Emergency
US,Call an ambulance,Call an ambulance!,Emergency
US,Fire!,Fire!,Emergency
US,I am injured,I am injured,Health
US,I am lost,I am lost,Safety
US,Do you speak Spanish?,¿Habla español?,Language
